1gram,freq1,2gram,freq2,3gram,freq3,4gram,freq4,5gram,freq5,6gram,freq6
de,1024824,de la,132940,il y a,8903,de plus en plus,1191,ce qu'il y a de,440,de sévigné a mme de grignan,254
la,602084,à la,56794,et de la,4796,il n'y a pas,1157,il n'y a pas de,420,mme de sévigné a mme de,254
et,563643,et de,37743,il y avait,4397,il y a des,1121,de mme de sévigné a,282,de mme de sévigné a mme,254
le,489172,dans la,30090,que je ne,3894,pour la première fois,1021,mme de sévigné a mme,254,ce qu'il y a de plus,183
à,411923,que je,28965,ce n'est pas,3833,je ne suis pas,989,de sévigné a mme de,254,sévigné a mme de grignan a,179
les,401243,dans le,26317,il n'y a,3743,au milieu de la,925,sévigné a mme de grignan,254,a mme de grignan a paris,124
que,308583,de son,25492,de tous les,3195,de temps en temps,897,dans la salle à manger,216,tout ce qu'il y a de,116
il,252601,je ne,24297,tout le monde,3175,il y en a,847,à droite et à gauche,207,bonaparte au caire le thermidor an,77
des,246732,dans les,23172,ce que je,3173,il ne faut pas,822,il n'y a point de,192,au point de vue de la,69
en,239320,et les,22685,au milieu de,3094,je ne veux pas,772,qu'il y a de plus,184,il y a des gens qui,68
qui,232123,que le,22135,je ne sais,2994,je ne sais pas,728,a mme de grignan a,179,la première fois de sa vie,66
un,213251,de sa,20853,de la vie,2834,il me semble que,629,de l'autre côté de la,176,pour la première fois de sa,64
ne,181505,et le,20554,tout ce qui,2781,il y a un,626,sur le champ de bataille,168,je ne sais pas ce que,64
dans,180281,et la,20000,de ne pas,2722,ce qu'il y a,608,que je ne suis pas,166,sévigné a mme de grignan aux,63
du,168922,que la,19418,tout à coup,2592,il est vrai que,587,la plus grande partie de,164,a mme de grignan aux rochers,63
une,164111,tous les,19273,en même temps,2433,il y a une,575,il me semble que je,160,bonaparte au caire le messidor an,62
je,163195,que les,19027,de toutes les,2406,sous le nom de,563,il en est de même,157,bulletin de la grande armée le,58
se,152441,il y,18402,à la fois,2374,qu'il y a de,550,tout ce qu'il y a,156,le thermidor an août  au,56
pas,147967,sur le,18014,tout ce que,2239,n'y a pas de,547,bulletin de la grande armée,150,au caire le thermidor an août,55
pour,146274,de ses,16960,que je vous,2212,tout ce que je,511,il n'y a rien de,146,caire le thermidor an août ,54
ce,144427,de ce,16801,ce qui est,2197,la porte de la,497,à la porte de la,140,sur le seuil de la porte,53
plus,122404,ce que,16792,au lieu de,2148,en même temps que,483,au point de vue de,137,toutes les peines du monde à,53
vous,117058,sur la,16446,en ce moment,2093,la salle à manger,476,de la rue de la,137,le germinal an avril  au,53
son,115202,ce qui,16378,le nom de,2080,il n'y avait pas,461,au coin de la rue,136,il n'en est pas de même,50
par,115000,que vous,15658,tout de suite,2034,de tout ce qui,460,ce qu'il y avait de,135,bonaparte au quartier-général à passeriano le,49
au,114510,il ne,15143,se mit à,2020,il n'y a que,458,sur le bord de la,133,paris le germinal an avril ,49
elle,106717,il est,15088,de la rue,2007,il se mit à,455,il n'y avait pas de,130,ce qu'il y avait de plus,49
sur,97224,et il,14218,qu'il y a,1983,au fond de la,435,de la manière la plus,126,bonaparte paris le germinal an avril,46
lui,96762,de cette,14192,tout à fait,1950,il faut que je,434,il y a des gens,125,il y a des moments où,46
est,95681,de ces,13667,peu à peu,1912,où il y a,428,il n'y a plus de,125,du roi et de la reine,46
